,Creature, Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +T , Level 1 , +W 
0,   Achatina ,75, 15 , 5.4 ,100, 10 ,10 ,, , ,450, 45 ,10 ,150, 3 ,4 ,0 , 0  ,1.7 ,100,1 ,50 , 3
1,   Allosaurus ,630, 126 , 5.4 ,250, 25 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,380, 7.6 ,4 ,35 / 25, 1.75 / 1.25 ,1.7 ,100,1 ,1000 , 60
2,   Alpha Basilisk ,19500, 3900 , ,650, 65 ,0 ,, , ,2500, 250 ,0 ,2200, 44 ,0 ,55 / 120, 2.75 / 6 ,0 ,100, ,175 , 10.5
3,   Alpha Blood Crystal Wyvern ,5920, 888 , ,710, 35.5 , ,150, 15 , ,1500, 150 , ,300, 6 , ,80 , 4  , ,100, ,990 , 59.4
4,   Alpha Carnotaurus ,6400, 1280 , ,300, 30 ,0 ,, , ,2000, 200 ,0 ,300, 6 ,0 ,80 , 4  ,0 ,100, ,350 , 21
5,   Alpha Deathworm ,27000, 54 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,100, 2 ,0 ,500 , 25  ,0 ,100, ,100 , 6
6,   Alpha Fire Wyvern ,8000, 1200 , ,600, 30 , ,150, 15 , ,1800, 180 , ,400, 8 , ,140 , 7  , ,100, ,725 , 43.5
7,   Alpha Karkinos ,20400, 4080 , ,600, 60 ,0 ,, , ,5000, 500 ,0 ,800, 16 ,0 ,160 / 185, 8 / 9.25 ,0 ,100, ,800 , 48
8,   Alpha Leedsichthys ,4400, 528 , ,500, 50 ,0 ,, , ,8000, 800 ,0 ,1800, 36 ,0 ,160 , 0  ,0 ,100, ,4500 , 270
9,   Alpha Megalodon ,9600, 1920 , ,320, 32 ,0 ,, , ,2000, 200 ,0 ,250, 5 ,0 ,60 , 3  ,0 ,100, ,800 , 48
10,   Alpha Mosasaur ,54000, 6480 , ,400, 40 ,0 ,, , ,8000, 800 ,0 ,1300, 26 ,0 ,200 , 10  ,0 ,100, ,3000 , 180
11,   Alpha Raptor ,3600, 720 , ,150, 15 ,0 ,, , ,1200, 120 ,0 ,140, 2.8 ,0 ,40 , 2  ,0 ,100, ,180 , 10.8
12,   Alpha Surface Reaper King ,42500, 8500 , ,480, 48 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,415, 8.3 ,0 ,180 / 10, 9 / 0.5 ,0 ,100, ,925 , 55.5
13,   Alpha T-Rex ,17500, 3500 , ,420, 42 ,0 ,, , ,3000, 300 ,0 ,500, 10 ,0 ,170 , 8.5  ,0 ,100, ,1550 , 93
14,   Alpha Tusoteuthis ,30000, 6000 , ,300, 30 ,0 ,, , ,3200, 320 ,0 ,800, 16 ,0 ,130 / 2, 6.5 / 0.1 ,0 ,100, ,1800 , 108
15,   Alpha X-Triceratops ,3500, 1050 , ,150, 15 , ,150, 15 , ,3000, 300 , ,365, 7.3 , ,48 , 2.4  , ,100, ,250 , 15
16,   Ammonite ,165, 33 , ,100, 10 ,0 ,, , ,450, 45 ,0 ,150, 3 ,0 ,0 , 0  ,0 ,100, ,50 , 3
17,   Anglerfish ,450, 90 , 5.4 ,240, 24 ,10 ,150, 15 , ,1500, 150 ,10 ,350, 7 ,4 ,30 , 1.5  ,1.7 ,100,1 ,900 , 54
18,   Ankylosaurus ,700, 140 , 5.4 ,175, 17.5 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,250, 5 ,4 ,50 / 30, 2.5 / 1.5 ,1.7 ,100,2 ,420 , 25.2
19,   Araneo ,150, 30 , 2.7 ,100, 10 ,10 ,150, 15 ,10 ,900, 90 ,10 ,100, 2 ,8 ,10 / 5, 0.5 / 0.25 ,1.7 ,100,1 ,80 , 4.8
20,   Archaeopteryx ,125, 25 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,900, 90 ,10 ,30, 0.6 ,4 ,5 , 0.25  ,1.7 ,100,1 ,100 , 6
21,   Argentavis ,365, 73 , 6.076 ,400, 20 ,7.5 ,150, 15 ,10 ,2000, 200 ,10 ,400, 8 ,5.5 ,25 / 12, 1.25 / 0.6 ,2.55 ,100, ,600 , 36
22,   Argentustus ,60000, 12000 , ,750, 75 , ,150, 15 , ,2000, 200 , ,350, 7 , ,? , ,0 ,100, ,600 , 36
23,   Arthropluera (Corrupted) ,500, 100 , ,200, 20 ,0 ,, , ,1200, 120 ,0 ,100, 2 ,0 ,18 , 0.9  ,0 ,100, ,175 , 10.5
24,   Arthropluera ,500, 100 , 5.4 ,200, 20 ,10 ,, , ,1200, 120 ,10 ,100, 2 ,4 ,18 / 30, 0.9 / 1.5 ,1.7 ,100,1 ,175 , 10.5
25,   Arthropluera (Aberrant) ,500, 100 , 5.4 ,200, 20 ,10 ,, , ,1200, 120 ,10 ,100, 2 ,4 ,18 , 0.9  ,1.7 ,100,1 ,175 , 10.5
26,   Astrocetus ,2800, 392 , 2.16 ,600, 30 ,5 ,, , ,6000, 600 ,10 ,2000, 40 ,5 ,29 , 1.16  ,1.7 ,100,1 ,4200 , 252
27,   Astrodelphis ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
28,   Attack Drone (Gamma) ,145.8, 29.16 , 5.4 ,250, 12.5 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,28 , 1.4  ,1.7 ,100, ,450 , 27
29,   Attack Drone (Beta) ,585, 117 , 5.4 ,250, 12.5 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,28 , 1.4  ,1.7 ,100, ,450 , 27
30,   Attack Drone (Alpha) ,877.5001, 175.50002 , 5.4 ,250, 12.5 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,28 , 1.4  ,1.7 ,100, ,450 , 27
